Identifier,Name
AEX,ABN Amro
AEX,Adyen B.V. Parts Sociales
AEX,Ahold Delhaize
AEX,Akzo Nobel
AEX,ArcelorMittal
AEX,ASML NV
AEX,ASR Nederland N.V
AEX,Heineken
AEX,IMCD
AEX,ING Group
AEX,KPN
AEX,NN Group
AEX,Philips
AEX,Randstad
AEX,RELX
AEX,Shell
AEX,Wolters Kluwer
BEL,AB InBev SA-NV (Anheuser-Busch InBev)
BEL,Ackermans & van Haaren S.A.
BEL,ageas NV
BEL,Ahold Delhaize (Ahold)
BEL,Cofinimmo S.A.
BEL,D'Ieteren NV
BEL,Elia System Operator SA-NV
BEL,Engie (ex GDF Suez)
BEL,Etablissementen Franz Colruyt NV
BEL,Groupe Bruxelles Lambert S.A. (GBL)
BEL,KBC Groep N.V.
BEL,NV Bekaert SA
BEL,Proximus (ex Belgacom)
BEL,Solvay S.A.
BEL,Telenet Group Holding N.V.
BEL,ThromboGenics NV
BEL,UCB S.A.
CAC,Air Liquide
CAC,Airbus
CAC,ArcelorMittal
CAC,AXA
CAC,BNP Paribas
CAC,Bouygues
CAC,Cap Gemini
CAC,Carrefour
CAC,Crédit Agricole
CAC,Danone
CAC,Engie
CAC,EssilorLuxottica
CAC,Eurofins Scientific
CAC,Hermès
CAC,Kering
CAC,LEGRAND
CAC,L'Oréal
CAC,LVMH Moet Hennessy Louis Vuitton
CAC,Michelin
CAC,Orange
CAC,Pernod Ricard
CAC,Publicis
CAC,Renault
CAC,SAFRAN
CAC,Saint-Gobain
CAC,Sanofi
CAC,Schneider Electric
CAC,Société Générale
CAC,SR.Teleperformance
CAC,Stellantis
CAC,STMicroelectronics
CAC,TotalEnergies
CAC,Unibail-Rodamco
CAC,Veolia Environnement
CAC,VINCI
CAC,Vivendi
OBX,Aker Solutions ASA
OBX,BW LPG Ltd
OBX,Det Norske Oljeselskap ASA
OBX,DNO International ASA (A)
OBX,Equinor
OBX,Gjensidige Forsikring ASA
OBX,Mowi
OBX,Nordic Semiconductor ASA
OBX,Norsk Hydro ASA
OBX,Norwegian Air Shuttle
OBX,Orkla AS
OBX,Otello Corporation ASA
OBX,Petroleum Geo-Services ASA
OBX,REC Silicon ASA
OBX,Royal Caribbean Cruises Ltd.
OBX,Schibsted ASA
OBX,Storebrand AsaShs
OBX,Subsea 7 S.A.
OBX,Telenor ASA
OBX,TGS-Nopec Geophysical Company ASAShs
OBX,Yara International ASA
