Company,ICBSector,Ticker symbol,Index weighting (%)
Adyen,"support services, financial administration",ADYEN,6.90
Aegon,life insurance,AGN,0.81
Ahold Delhaize,food retailers & wholesalers,AD,3.40
AkzoNobel,specialty chemicals,AKZA,2.58
ArcelorMittal,iron & steel,MT,2.41
ASM International,semiconductors,ASM,1.70
ASML Holding,semiconductors,ASML,17.62
Universal Music Group,entertainment,UMG,0.57
BE Semiconductors,semiconductors,BESI,0.66
DSM Firmenich AG,specialty chemicals,DSFIR,3.71
Heineken,brewers,HEIA,3.06
IMCD,specialty chemicals,IMCD,0.99
ING Group,banks,INGA,5.64
Just Eat Takeaway,specialized consumer services,TKWY,1.35
KPN,fixed line telecommunications,KPN,1.15
NN Group,life insurance,NN,1.45
Philips,medical equipment,PHIA,4.95
Prosus,Consumer Digital Services,PRX,4.35
Randstad,business training & employment agencies,RAND,1.08
RELX,publishing,REN,5.78
Shell plc,integrated oil & gas,SHELL,10.15
Signify,building materials,LIGHT,0.89
Unibail-Rodamco-Westfield,retail REITs,URW,1.12
Unilever,personal products,UNA,14.76
Wolters Kluwer,publishing,WKL,2.94
